r,g
16.23,0.9999
16.26,1
16.29,0.9999
16.32,1
16.35,0.9999
16.38,1
16.41,1.0001
16.44,0.9999
16.47,1
16.5,1.0003
16.53,1.0001
16.56,1.0001
16.59,1
16.62,1.0002
16.65,1.0001
16.68,1.0001
16.71,1.0001
16.74,1.0002
16.77,1.0002
16.8,1.0001
16.83,1.0001
16.86,1.0002
16.89,1.0002
16.92,1.0001
16.95,1.0003
16.98,1.0001
17.01,1.0002
17.04,1
17.07,1.0001
17.1,1.0001
17.13,1.0002
17.16,1.0001
17.19,1
17.22,1.0002
17.25,1.0001
17.28,1.0001
17.31,1.0002
17.34,1
17.37,1.0001
17.4,1.0001
17.43,1.0001
17.46,1
17.49,1.0002
17.52,1
17.55,1
17.58,1.0001
17.61,0.9999
17.64,1.0001
17.67,0.9999
17.7,1
17.73,1
17.76,0.9998
17.79,0.9998
17.82,1
17.85,0.9999
17.88,0.9999
17.91,1
17.94,0.9999
17.97,0.9997
18,0.9998
18.03,0.9999
18.06,0.9998
18.09,0.9996
18.12,0.9998
18.15,0.9998
18.18,0.9997
18.21,0.9997
18.24,0.9997
18.27,0.9999
18.3,0.9996
18.33,0.9997
18.36,0.9997
18.39,0.9998
18.42,0.9999
18.45,0.9998
18.48,0.9997
18.51,0.9997
18.54,0.9999
18.57,1.0001
18.6,0.9999
18.63,0.9999
18.66,0.9998
18.69,0.9999
18.72,1
18.75,0.9999
18.78,1
18.81,1.0001
18.84,1
18.87,1
18.9,1
18.93,0.9999
18.96,0.9998
18.99,0.9999
19.02,0.9996
19.05,0.9998
19.08,1
19.11,0.9998
19.14,0.9998
19.17,0.9997
19.2,0.9999
19.23,0.9999
19.26,0.9998
19.29,0.9999
19.32,1
19.35,1.0001
19.38,0.9998
19.41,0.9999
19.44,0.9999
19.47,1
19.5,0.9998
19.53,0.9999
19.56,0.9999
19.59,0.9998
19.62,1
19.65,1.0001
19.68,1
19.71,1
19.74,1
19.77,0.9998
19.8,0.9998
19.83,1
19.86,1
19.89,0.9999
19.92,0.9999
19.95,0.9999
19.98,1
20.01,0.9998
20.04,1
20.07,0.9999
20.1,1
20.13,1.0001
20.16,1
20.19,1.0001
20.22,1
20.25,0.9999
20.28,0.9999
20.31,1.0001
20.34,0.9999
