Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1930      -12459.7269  -12460.4991       0.7722   331.9
0.1940      -12459.7317  -12460.5254       0.7937   341.1
0.1950      -12459.7434  -12460.6259       0.8825   379.3
0.1960      -12459.7385  -12460.6366       0.8981   386.0
0.1970      -12459.7335  -12460.5961       0.8627   370.8
0.1980      -12459.7315  -12460.5772       0.8456   363.5
0.1990      -12459.7352  -12460.6042       0.8690   373.5
0.2000      -12459.7403  -12460.6206       0.8803   378.4
0.2010      -12459.7336  -12460.5697       0.8361   359.4
0.2020      -12459.7339  -12460.5385       0.8046   345.8
0.2030      -12459.7370  -12460.5413       0.8043   345.7
0.2040      -12459.7318  -12460.5521       0.8204   352.6
0.2050      -12459.7374  -12460.6143       0.8769   376.9
0.2060      -12459.7375  -12460.6537       0.9163   393.8
0.2070      -12459.7347  -12460.6530       0.9184   394.7
0.2080      -12459.7359  -12460.6460       0.9101   391.2
0.2090      -12459.7336  -12460.6273       0.8937   384.1
0.2100      -12459.7337  -12460.6337       0.9000   386.8
0.2110      -12459.7512  -12460.6379       0.8867   381.1
0.2120      -12459.7316  -12460.4595       0.7279   312.8
0.2130      -12459.7197  -12460.3560       0.6363   273.5
0.2140      -12459.7401  -12460.4844       0.7443   319.9
0.2150      -12459.7414  -12460.5749       0.8335   358.2
0.2160      -12459.7351  -12460.5631       0.8280   355.9
0.2170      -12459.7301  -12460.5345       0.8044   345.7
0.2180      -12459.7281  -12460.5774       0.8493   365.0
0.2190      -12459.7463  -12460.7003       0.9540   410.0
0.2200      -12459.7532  -12460.6607       0.9074   390.0
0.2210      -12459.7210  -12460.4128       0.6918   297.3
0.2220      -12459.7224  -12460.3754       0.6531   280.7
0.2230      -12459.7437  -12460.5471       0.8035   345.3
0.2240      -12459.7428  -12460.6161       0.8732   375.3
0.2250      -12459.7335  -12460.5575       0.8240   354.1
0.2260      -12459.7237  -12460.5162       0.7925   340.6
0.2270      -12459.7300  -12460.6354       0.9055   389.2
0.2280      -12459.7526  -12460.8115       1.0588   455.1
0.2290      -12459.7502  -12460.7390       0.9887   425.0
0.2300      -12459.7193  -12460.4774       0.7580   325.8
0.2310      -12459.7237  -12460.4507       0.7270   312.5
0.2320      -12459.7505  -12460.6060       0.8555   367.7
0.2330      -12459.7424  -12460.5749       0.8324   357.8
0.2340      -12459.7234  -12460.4327       0.7093   304.8
0.2350      -12459.7212  -12460.4565       0.7353   316.0
0.2360      -12459.7406  -12460.6755       0.9349   401.8
0.2370      -12459.7524  -12460.8131       1.0606   455.9
0.2380      -12459.7386  -12460.7104       0.9718   417.7
0.2390      -12459.7229  -12460.5717       0.8489   364.9
0.2400      -12459.7356  -12460.6187       0.8831   379.6
0.2410      -12459.7523  -12460.6737       0.9213   396.0
0.2420      -12459.7349  -12460.5130       0.7781   334.4
0.2430      -12459.7187  -12460.3606       0.6419   275.9
0.2440      -12459.7306  -12460.4412       0.7106   305.4
0.2450      -12459.7446  -12460.5964       0.8519   366.1
