Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.2340      -12459.7753  -12460.6324       0.8570   368.3
0.2350      -12459.7619  -12460.4966       0.7347   315.8
0.2360      -12459.7569  -12460.4541       0.6972   299.6
0.2370      -12459.7642  -12460.5895       0.8253   354.7
0.2380      -12459.7830  -12460.7784       0.9954   427.8
0.2390      -12459.7806  -12460.7571       0.9766   419.7
0.2400      -12459.7581  -12460.5725       0.8144   350.0
0.2410      -12459.7593  -12460.5345       0.7752   333.2
0.2420      -12459.7783  -12460.6297       0.8514   365.9
0.2430      -12459.7755  -12460.5980       0.8225   353.5
0.2440      -12459.7635  -12460.4484       0.6850   294.4
0.2450      -12459.7532  -12460.3668       0.6136   263.7
0.2460      -12459.7633  -12460.4898       0.7264   312.2
0.2470      -12459.7758  -12460.6794       0.9035   388.3
0.2480      -12459.7773  -12460.7445       0.9671   415.7
0.2490      -12459.7660  -12460.6736       0.9077   390.1
0.2500      -12459.7608  -12460.6370       0.8763   376.6
0.2510      -12459.7745  -12460.7026       0.9281   398.9
0.2520      -12459.7769  -12460.6906       0.9136   392.7
0.2530      -12459.7655  -12460.5624       0.7969   342.5
0.2540      -12459.7633  -12460.4913       0.7280   312.9
0.2550      -12459.7666  -12460.5242       0.7576   325.6
0.2560      -12459.7671  -12460.6144       0.8473   364.2
0.2570      -12459.7750  -12460.7371       0.9620   413.5
0.2580      -12459.7773  -12460.7888       1.0115   434.8
0.2590      -12459.7656  -12460.7565       0.9909   425.9
0.2600      -12459.7711  -12460.7828       1.0117   434.8
0.2610      -12459.7790  -12460.8031       1.0242   440.2
0.2620      -12459.7725  -12460.7123       0.9398   403.9
0.2630      -12459.7681  -12460.5795       0.8114   348.7
0.2640      -12459.7592  -12460.4826       0.7234   310.9
0.2650      -12459.7597  -12460.5399       0.7802   335.3
0.2660      -12459.7765  -12460.7303       0.9538   410.0
0.2670      -12459.7854  -12460.8183       1.0329   443.9
0.2680      -12459.7664  -12460.7105       0.9441   405.8
0.2690      -12459.7621  -12460.6685       0.9063   389.5
0.2700      -12459.7761  -12460.7726       0.9966   428.3
0.2710      -12459.7855  -12460.8143       1.0288   442.2
0.2720      -12459.7727  -12460.6469       0.8742   375.7
0.2730      -12459.7550  -12460.4344       0.6794   292.0
0.2740      -12459.7564  -12460.4262       0.6698   287.9
0.2750      -12459.7754  -12460.5999       0.8245   354.4
0.2760      -12459.7852  -12460.6869       0.9016   387.5
0.2770      -12459.7683  -12460.5704       0.8021   344.7
0.2780      -12459.7556  -12460.5006       0.7450   320.2
0.2790      -12459.7761  -12460.6537       0.8776   377.2
0.2800      -12459.7891  -12460.7496       0.9605   412.8
0.2810      -12459.7700  -12460.5909       0.8209   352.8
0.2820      -12459.7555  -12460.4191       0.6636   285.2
0.2830      -12459.7618  -12460.4462       0.6844   294.2
0.2840      -12459.7756  -12460.5872       0.8117   348.9
0.2850      -12459.7809  -12460.6456       0.8647   371.6
0.2860      -12459.7705  -12460.5604       0.7899   339.5
0.2870      -12459.7558  -12460.5138       0.7580   325.8
0.2880      -12459.7774  -12460.6809       0.9035   388.3
0.2890      -12459.7855  -12460.7788       0.9933   426.9
0.2900      -12459.7692  -12460.6618       0.8926   383.6
0.2910      -12459.7602  -12460.5354       0.7753   333.2
0.2920      -12459.7646  -12460.5358       0.7712   331.5
0.2930      -12459.7714  -12460.6042       0.8327   357.9
0.2940      -12459.7783  -12460.6361       0.8577   368.6
0.2950      -12459.7699  -12460.5580       0.7881   338.7
0.2960      -12459.7596  -12460.5087       0.7491   322.0
0.2970      -12459.7758  -12460.6105       0.8347   358.8
0.2980      -12459.7772  -12460.6607       0.8835   379.7
0.2990      -12459.7692  -12460.6073       0.8382   360.2
0.3000      -12459.7662  -12460.5492       0.7829   336.5
