Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1590      -12459.8032  -12460.5627       0.7594   326.4
0.1600      -12459.7963  -12460.4474       0.6511   279.8
0.1610      -12459.7921  -12460.4264       0.6343   272.6
0.1620      -12459.8080  -12460.5275       0.7195   309.3
0.1630      -12459.8072  -12460.5346       0.7274   312.6
0.1640      -12459.7931  -12460.4324       0.6393   274.8
0.1650      -12459.7900  -12460.4086       0.6186   265.9
0.1660      -12459.8001  -12460.5125       0.7124   306.2
0.1670      -12459.8112  -12460.6069       0.7957   342.0
0.1680      -12459.8117  -12460.5385       0.7268   312.4
0.1690      -12459.7855  -12460.3554       0.5699   244.9
0.1700      -12459.7934  -12460.4014       0.6080   261.3
0.1710      -12459.8170  -12460.5715       0.7545   324.3
0.1720      -12459.8058  -12460.5275       0.7217   310.2
0.1730      -12459.7883  -12460.3895       0.6012   258.4
0.1740      -12459.7888  -12460.4070       0.6182   265.7
0.1750      -12459.8010  -12460.5867       0.7857   337.7
0.1760      -12459.8166  -12460.7428       0.9262   398.1
0.1770      -12459.8073  -12460.6725       0.8652   371.9
0.1780      -12459.7832  -12460.5386       0.7554   324.7
0.1790      -12459.8020  -12460.6418       0.8398   360.9
0.1800      -12459.8136  -12460.7450       0.9314   400.3
0.1810      -12459.8008  -12460.6583       0.8575   368.6
0.1820      -12459.7895  -12460.5412       0.7517   323.1
0.1830      -12459.7894  -12460.5674       0.7780   334.4
0.1840      -12459.8017  -12460.7430       0.9414   404.6
0.1850      -12459.8185  -12460.8805       1.0619   456.4
0.1860      -12459.7999  -12460.7837       0.9838   422.8
0.1870      -12459.7885  -12460.7068       0.9183   394.7
0.1880      -12459.8069  -12460.8016       0.9947   427.5
0.1890      -12459.8097  -12460.8195       1.0098   434.0
0.1900      -12459.7996  -12460.6895       0.8900   382.5
0.1910      -12459.7901  -12460.5509       0.7608   327.0
0.1920      -12459.7896  -12460.5480       0.7584   326.0
0.1930      -12459.8045  -12460.6784       0.8739   375.6
0.1940      -12459.8098  -12460.7409       0.9311   400.2
0.1950      -12459.7935  -12460.6894       0.8959   385.0
0.1960      -12459.8000  -12460.7246       0.9246   397.4
0.1970      -12459.8046  -12460.7870       0.9824   422.2
0.1980      -12459.8041  -12460.7865       0.9823   422.2
0.1990      -12459.8022  -12460.7135       0.9113   391.7
0.2000      -12459.7929  -12460.6044       0.8115   348.8
0.2010      -12459.7923  -12460.5829       0.7906   339.8
0.2020      -12459.8043  -12460.6527       0.8484   364.6
0.2030      -12459.8005  -12460.6694       0.8689   373.5
0.2040      -12459.7949  -12460.6865       0.8916   383.2
0.2050      -12459.8052  -12460.7699       0.9646   414.6
0.2060      -12459.8026  -12460.7977       0.9951   427.7
0.2070      -12459.8002  -12460.7840       0.9838   422.8
0.2080      -12459.8013  -12460.7583       0.9571   411.3
0.2090      -12459.7983  -12460.7121       0.9138   392.8
0.2100      -12459.7999  -12460.6751       0.8752   376.2
0.2110      -12459.7983  -12460.6340       0.8357   359.2
0.2120      -12459.7935  -12460.6265       0.8330   358.0
0.2130      -12459.8065  -12460.6958       0.8894   382.2
0.2140      -12459.8041  -12460.6907       0.8866   381.1
0.2150      -12459.7967  -12460.6294       0.8327   357.9
0.2160      -12459.7973  -12460.6192       0.8219   353.2
0.2170      -12459.8016  -12460.6541       0.8526   366.4
0.2180      -12459.8039  -12460.6634       0.8596   369.4
0.2190      -12459.8015  -12460.6030       0.8015   344.5
0.2200      -12459.7916  -12460.5161       0.7246   311.4
0.2210      -12459.7935  -12460.5412       0.7477   321.4
0.2220      -12459.8094  -12460.6436       0.8343   358.6
0.2230      -12459.8044  -12460.6262       0.8218   353.2
0.2240      -12459.7947  -12460.5488       0.7541   324.1
0.2250      -12459.7921  -12460.5634       0.7712   331.5
0.2260      -12459.8026  -12460.7010       0.8984   386.1
0.2270      -12459.8123  -12460.8027       0.9904   425.7
0.2280      -12459.8018  -12460.7289       0.9270   398.4
0.2290      -12459.7849  -12460.6338       0.8489   364.9
0.2300      -12459.7990  -12460.7349       0.9359   402.3
0.2310      -12459.8114  -12460.8554       1.0441   448.7
0.2320      -12459.8018  -12460.8178       1.0160   436.7
0.2330      -12459.7954  -12460.7414       0.9460   406.6
0.2340      -12459.7936  -12460.7401       0.9465   406.8
0.2350      -12459.8031  -12460.8345       1.0315   443.3
0.2360      -12459.8128  -12460.8787       1.0659   458.1
0.2370      -12459.7956  -12460.7543       0.9588   412.1
0.2380      -12459.7890  -12460.6830       0.8940   384.2
0.2390      -12459.8016  -12460.7617       0.9601   412.6
0.2400      -12459.8070  -12460.8230       1.0160   436.7
0.2410      -12459.8039  -12460.7788       0.9749   419.0
0.2420      -12459.7968  -12460.6821       0.8853   380.5
0.2430      -12459.7927  -12460.6489       0.8562   368.0
0.2440      -12459.8036  -12460.7326       0.9291   399.3
0.2450      -12459.8103  -12460.7762       0.9659   415.1
0.2460      -12459.7926  -12460.6971       0.9045   388.8
0.2470      -12459.7941  -12460.7011       0.9071   389.9
0.2480      -12459.8004  -12460.7846       0.9842   423.0
0.2490      -12459.8013  -12460.8469       1.0457   449.4
0.2500      -12459.7999  -12460.8665       1.0667   458.4
0.2510      -12459.8001  -12460.8688       1.0687   459.3
